id,gid,x,y,v_x,v_y,radius,time
0,0,7.950798,0.001535,-0.492021,0.015354,0.500000,0.100000
1,1,5.639667,5.633361,-0.171826,-0.234887,0.500000,0.100000
2,2,0.001687,7.949380,0.016878,-0.506196,0.500000,0.100000
3,3,-5.564674,5.569540,0.921758,-0.873095,0.500000,0.100000
4,4,-7.959857,0.011745,0.401427,0.117457,0.500000,0.100000
5,5,-5.607829,-5.611819,0.490206,0.450410,0.500000,0.100000
6,6,0.005769,-7.894104,0.057688,1.058961,0.500000,0.100000
7,7,5.645000,-5.647384,-0.118597,0.094658,0.500000,0.100000
0,0,7.821405,-0.007071,-1.293929,-0.086060,0.500000,0.200000
1,1,5.571014,5.556071,-0.686534,-0.772906,0.500000,0.200000
2,2,0.007115,7.863030,0.054280,-0.863506,0.500000,0.200000
3,3,-5.467035,5.463215,0.976389,-1.063251,0.500000,0.200000
4,4,-7.876409,0.014755,0.834486,0.030103,0.500000,0.200000
5,5,-5.537368,-5.545248,0.704616,0.665706,0.500000,0.200000
6,6,0.016161,-7.769341,0.103917,1.247632,0.500000,0.200000
7,7,5.612595,-5.619470,-0.324053,0.279145,0.500000,0.200000
0,0,7.705902,-0.018785,-1.155027,-0.117141,0.500000,0.300000
1,1,5.489167,5.470026,-0.818468,-0.860442,0.500000,0.300000
2,2,0.010982,7.748142,0.038661,-1.148877,0.500000,0.300000
3,3,-5.361780,5.334821,1.052553,-1.283939,0.500000,0.300000
4,4,-7.775843,0.017555,1.005653,0.028000,0.500000,0.300000
5,5,-5.447350,-5.446425,0.900177,0.988237,0.500000,0.300000
6,6,0.033144,-7.646748,0.169829,1.225922,0.500000,0.300000
7,7,5.557389,-5.557982,-0.552062,0.614878,0.500000,0.300000
0,0,7.572203,-0.018706,-1.336988,0.000782,0.500000,0.400000
1,1,5.424257,5.412627,-0.649103,-0.573995,0.500000,0.400000
2,2,0.023026,7.595315,0.120446,-1.528275,0.500000,0.400000
3,3,-5.250590,5.244395,1.111898,-0.904269,0.500000,0.400000
4,4,-7.661718,0.006831,1.141252,-0.107240,0.500000,0.400000
5,5,-5.360044,-5.346407,0.873056,1.000179,0.500000,0.400000
6,6,0.040324,-7.512158,0.071803,1.345908,0.500000,0.400000
7,7,5.470366,-5.490990,-0.870223,0.669921,0.500000,0.400000
0,0,7.457235,-0.001676,-1.149684,0.170300,0.500000,0.500000
1,1,5.355297,5.342612,-0.689598,-0.700150,0.500000,0.500000
2,2,0.036014,7.426705,0.129881,-1.686099,0.500000,0.500000
3,3,-5.130830,5.142944,1.197603,-1.014509,0.500000,0.500000
4,4,-7.558480,-0.021153,1.032376,-0.279848,0.500000,0.500000
5,5,-5.286784,-5.248729,0.732600,0.976779,0.500000,0.500000
6,6,0.033598,-7.361694,-0.067257,1.504638,0.500000,0.500000
7,7,5.362068,-5.446389,-1.082981,0.446013,0.500000,0.500000
0,0,7.329253,0.005851,-1.279824,0.075278,0.500000,0.600000
1,1,5.264706,5.256461,-0.905910,-0.861509,0.500000,0.600000
2,2,0.042423,7.278347,0.064085,-1.483576,0.500000,0.600000
3,3,-5.019640,5.052220,1.111896,-0.907241,0.500000,0.600000
4,4,-7.433155,-0.014764,1.253256,0.063899,0.500000,0.600000
5,5,-5.221562,-5.159024,0.652220,0.897044,0.500000,0.600000
6,6,0.029641,-7.207384,-0.039572,1.543101,0.500000,0.600000
7,7,5.262548,-5.395964,-0.995201,0.504249,0.500000,0.600000
0,0,7.185680,0.030118,-1.435726,0.242661,0.500000,0.700000
1,1,5.151404,5.172532,-1.133019,-0.839296,0.500000,0.700000
2,2,0.047739,7.124527,0.053166,-1.538199,0.500000,0.700000
3,3,-4.906753,4.963256,1.128871,-0.889639,0.500000,0.700000
4,4,-7.323424,-0.021467,1.097310,-0.067039,0.500000,0.700000
5,5,-5.130345,-5.068881,0.912171,0.901435,0.500000,0.700000
6,6,0.030276,-7.047723,0.006352,1.596605,0.500000,0.700000
7,7,5.154585,-5.315409,-1.079632,0.805550,0.500000,0.700000
0,0,7.042706,0.037994,-1.429735,0.078766,0.500000,0.800000
1,1,5.031867,5.089026,-1.195370,-0.835056,0.500000,0.800000
2,2,0.023858,6.962427,-0.238817,-1.620999,0.500000,0.800000
3,3,-4.811333,4.879716,0.954201,-0.835392,0.500000,0.800000
4,4,-7.209585,-0.023394,1.138389,-0.019261,0.500000,0.800000
5,5,-5.058617,-4.982282,0.717279,0.865989,0.500000,0.800000
6,6,0.029288,-6.896668,-0.009878,1.510555,0.500000,0.800000
7,7,5.054693,-5.227868,-0.998924,0.875411,0.500000,0.800000
0,0,6.886465,0.014990,-1.562413,-0.230037,0.500000,0.900000
1,1,4.916607,5.014727,-1.152605,-0.742990,0.500000,0.900000
2,2,0.024496,6.823612,0.006383,-1.388151,0.500000,0.900000
3,3,-4.686123,4.816596,1.252099,-0.631206,0.500000,0.900000
4,4,-7.121074,-0.031226,0.885113,-0.078322,0.500000,0.900000
5,5,-4.972164,-4.904748,0.864532,0.775344,0.500000,0.900000
6,6,0.042539,-6.735748,0.132510,1.609199,0.500000,0.900000
7,7,4.963268,-5.138026,-0.914248,0.898414,0.500000,0.900000
0,0,6.729698,0.000681,-1.567677,-0.143091,0.500000,1.000000
1,1,4.801068,4.950953,-1.155390,-0.637735,0.500000,1.000000
2,2,0.022350,6.663612,-0.021462,-1.600004,0.500000,1.000000
3,3,-4.600257,4.726946,0.858663,-0.896498,0.500000,1.000000
4,4,-7.033144,-0.053434,0.879301,-0.222081,0.500000,1.000000
5,5,-4.875321,-4.813345,0.968433,0.914029,0.500000,1.000000
6,6,0.064899,-6.571431,0.223596,1.643165,0.500000,1.000000
7,7,4.864974,-5.047144,-0.982940,0.908822,0.500000,1.000000
0,0,6.575383,0.004356,-1.543149,0.036745,0.500000,1.100000
1,1,4.697263,4.880184,-1.038049,-0.707693,0.500000,1.100000
2,2,0.022282,6.507265,-0.000679,-1.563469,0.500000,1.100000
3,3,-4.539834,4.631097,0.604225,-0.958492,0.500000,1.100000
4,4,-6.933861,-0.074523,0.992823,-0.210895,0.500000,1.100000
5,5,-4.775312,-4.724119,1.000090,0.892256,0.500000,1.100000
6,6,0.083699,-6.454696,0.188006,1.167355,0.500000,1.100000
