id,gid,x,y,v_x,v_y,radius,time
0,0,10.112484,0.419778,-0.536162,0.646737,0.200000,0.100000
1,0,12.550313,0.611676,0.019128,0.201494,0.200000,0.100000
2,0,7.415689,-0.019071,0.936492,1.029105,0.200000,0.100000
3,0,6.732175,-0.842638,-0.723654,-0.022602,0.200000,0.100000
4,0,8.867802,0.705966,0.327518,0.059541,0.200000,0.100000
5,0,5.228662,0.425541,0.050024,-1.090618,0.200000,0.100000
6,0,13.643153,-1.065384,-0.523468,-0.155544,0.200000,0.100000
7,0,10.865858,-0.215405,0.058583,-0.455604,0.200000,0.100000
8,0,13.222771,-0.469343,-0.901292,0.680983,0.200000,0.100000
9,0,8.003657,-0.179101,-0.258929,0.415227,0.200000,0.100000
10,0,6.922286,0.293410,0.589855,0.738715,0.200000,0.100000
11,0,14.752057,-0.655451,-0.088429,0.357972,0.200000,0.100000
12,0,13.419417,0.563728,0.095173,-0.317764,0.200000,0.100000
13,0,8.437987,0.158945,-0.883128,0.271594,0.200000,0.100000
14,0,6.785951,-0.362928,-0.263887,0.519731,0.200000,0.100000
15,0,13.592885,1.039854,-0.192152,0.190144,0.200000,0.100000
16,0,6.294860,-0.002504,-1.507996,-0.524912,0.200000,0.100000
17,0,6.716003,1.009362,-0.634175,1.264650,0.200000,0.100000
18,0,9.421994,-0.448338,-0.764355,-0.106973,0.200000,0.100000
19,0,7.335233,-0.918993,0.029431,-0.796029,0.200000,0.100000
20,1,7.271973,7.708856,-0.280965,-0.045042,0.200000,0.100000
21,1,8.369008,-4.244211,0.029079,-0.490610,0.200000,0.100000
22,1,7.053735,2.232897,-0.578553,-1.031533,0.200000,0.100000
23,1,9.096455,-3.128006,0.081249,-0.513162,0.200000,0.100000
24,1,5.321627,5.382404,0.114873,-1.075656,0.200000,0.100000
25,1,8.426574,-2.026410,0.137037,0.027696,0.200000,0.100000
26,1,6.800968,6.513023,-0.210019,-0.552872,0.200000,0.100000
27,1,5.130278,1.220711,-0.367420,-0.025190,0.200000,0.100000
28,1,4.759582,2.876714,-0.499681,-1.460564,0.200000,0.100000
29,1,4.785355,0.660669,-0.271145,-0.483853,0.200000,0.100000
30,1,7.652499,3.399223,0.493686,-0.476670,0.200000,0.100000
31,1,7.277815,-4.421639,0.020049,-0.766895,0.200000,0.100000
32,1,5.652712,2.256013,0.079818,0.163531,0.200000,0.100000
33,1,7.983740,5.220782,0.064197,-1.433284,0.200000,0.100000
34,1,4.906932,6.616245,-0.201880,-0.200549,0.200000,0.100000
35,1,9.181734,3.739889,-0.025960,-0.447910,0.200000,0.100000
36,1,6.163035,4.226513,-0.334555,0.181927,0.200000,0.100000
37,1,8.594945,3.808941,0.422250,-0.536886,0.200000,0.100000
